NID-440839,ACC-117217,34001
NID-688674,ACC-934887,44311
NID-720616,ACC-117217,24377
NID-673507,ACC-708702,34039
NID-738255,ACC-148444,17078
NID-438088,ACC-858211,49760
NID-426257,ACC-258488,30185
NID-933761,ACC-398625,18018
NID-857639,ACC-615902,36271
NID-476646,ACC-634501,17299
NID-230981,ACC-634501,16078
NID-876314,ACC-521567,22111
NID-579641,ACC-996977,45443
NID-462380,ACC-888145,13559
NID-347235,ACC-892360,10083
NID-462541,ACC-371775,26812
NID-501484,ACC-971692,27378
NID-976253,ACC-888145,33870
NID-519945,ACC-862341,39907
NID-806128,ACC-734713,22006
NID-397461,ACC-708702,19775
NID-297296,ACC-958048,49083
NID-198157,ACC-971692,14633
NID-137315,ACC-464731,18051
NID-158104,ACC-213166,12325
NID-876349,ACC-535855,30259
NID-383838,ACC-103037,38500
NID-825645,ACC-101910,17809
NID-391380,ACC-960503,17621
NID-868951,ACC-703755,40556
NID-217950,ACC-913702,39177
NID-115136,ACC-471424,17591
NID-912645,ACC-535855,40725
NID-975966,ACC-213166,21422
NID-329537,ACC-388707,45487
NID-578771,ACC-892360,20617
NID-129169,ACC-934887,28609
NID-902544,ACC-398961,29847
NID-596065,ACC-180414,30467
NID-217221,ACC-148444,35338
NID-742032,ACC-387110,45824
NID-592268,ACC-213166,39824
NID-387321,ACC-387110,48431
NID-183525,ACC-204557,23136
NID-728839,ACC-821406,19537
NID-381669,ACC-811500,35359
NID-664587,ACC-708702,11946
NID-353026,ACC-191635,33406
NID-823344,ACC-117217,15763
NID-251599,ACC-913702,43535
NID-895388,ACC-550897,31054
NID-130773,ACC-172179,21125
NID-283614,ACC-258488,37282
NID-376020,ACC-819017,23474
NID-700619,ACC-752269,39577
NID-336769,ACC-698212,22348
NID-788640,ACC-655032,42587
NID-309332,ACC-387110,38225
NID-806043,ACC-703755,14090
NID-617106,ACC-323065,12041
NID-723232,ACC-136143,32444
NID-787201,ACC-838689,35181
NID-509585,ACC-362902,21114
NID-878155,ACC-760006,27521
NID-938756,ACC-418223,22893
NID-251799,ACC-781200,38386
NID-801044,ACC-640358,18127
NID-222880,ACC-398625,33359
NID-650110,ACC-231906,28103
NID-584606,ACC-403430,46803
NID-713764,ACC-857985,18713
NID-379800,ACC-350489,21445
NID-377256,ACC-749714,20084
NID-697559,ACC-697649,29464
NID-864072,ACC-527372,24866
NID-991412,ACC-644994,14353
NID-223771,ACC-912270,28432
NID-340118,ACC-827438,10684
NID-280155,ACC-888145,13623
NID-533907,ACC-698212,29558
NID-361441,ACC-769144,37131
NID-986965,ACC-846026,35020
NID-523681,ACC-180414,13680
NID-225562,ACC-267843,35398
NID-297399,ACC-971692,37696
NID-863255,ACC-723551,15089
NID-916836,ACC-318727,32055
NID-469238,ACC-671240,36777
NID-684643,ACC-917638,27637
NID-888739,ACC-176674,39365
NID-535595,ACC-386605,28263
NID-193545,ACC-327316,11250
NID-267031,ACC-332053,33760
NID-831249,ACC-889821,47792
NID-701243,ACC-219730,21322
NID-167782,ACC-107972,22178
NID-792084,ACC-690521,15805
NID-815139,ACC-194134,15240
NID-600808,ACC-350489,42545
NID-575174,ACC-435178,11541
NID-125638,ACC-387049,41504
NID-424326,ACC-281293,29047
NID-233547,ACC-850308,27512
NID-248651,ACC-429498,45274
NID-272621,ACC-696894,18324
NID-765222,ACC-361907,42229
NID-572530,ACC-451152,43658
NID-249405,ACC-946192,48487
NID-204603,ACC-681563,24906
NID-206728,ACC-584793,45235
NID-315929,ACC-850308,23856
NID-286495,ACC-640468,35891
NID-672797,ACC-690367,49021
NID-313936,ACC-621446,33144
NID-941812,ACC-854856,43042
NID-245796,ACC-318727,45214
NID-453266,ACC-637996,25958
NID-175893,ACC-463442,37846
NID-594867,ACC-801290,22795
NID-830388,ACC-591115,18530
NID-424936,ACC-344845,34278
NID-889771,ACC-781200,16427
NID-568808,ACC-150432,45810
NID-561580,ACC-931813,42024
NID-879629,ACC-525293,34713
NID-859873,ACC-860197,35993
NID-373273,ACC-959531,43101
NID-116491,ACC-770116,16667
NID-889411,ACC-473555,20498
NID-789433,ACC-908347,40591
NID-609572,ACC-245363,20751
NID-516152,ACC-909562,15809
NID-816088,ACC-512578,24340
NID-877168,ACC-590713,37865
NID-988240,ACC-435178,37367
NID-752004,ACC-821406,47066
NID-368535,ACC-660656,26973
NID-568030,ACC-128656,20264
NID-719668,ACC-996066,33449
NID-935038,ACC-854856,16655
NID-972052,ACC-966018,41091
NID-805846,ACC-391738,28859
NID-595934,ACC-412625,14886
NID-325919,ACC-946984,10952
NID-597717,ACC-289941,35028
NID-939522,ACC-128973,27062
NID-698157,ACC-973743,37839
NID-289354,ACC-388707,41474
NID-405703,ACC-909562,45621
NID-436666,ACC-590713,45439
NID-170258,ACC-998868,37780
NID-239931,ACC-225789,44966
NID-561864,ACC-697649,12325
NID-664942,ACC-837567,28540
NID-925185,ACC-790071,17511
NID-516971,ACC-132477,46397
NID-226505,ACC-698475,46696
NID-270059,ACC-416566,30992
NID-988311,ACC-164267,29803
NID-313775,ACC-809904,26246
NID-450742,ACC-805552,20938
NID-606227,ACC-213976,43830
NID-701576,ACC-663666,15194
NID-462083,ACC-653756,15159
NID-447073,ACC-752269,31790
NID-447465,ACC-338303,45948
NID-502903,ACC-740264,23646
NID-742945,ACC-685054,33956
NID-844089,ACC-229638,39236
NID-967513,ACC-289941,10089
NID-735967,ACC-824868,43269
NID-106237,ACC-213451,18086
NID-521297,ACC-115652,27330
NID-850276,ACC-750281,36635
NID-775381,ACC-455700,38719
NID-511323,ACC-649383,35914
NID-450208,ACC-160210,34521
NID-131588,ACC-699257,33197
NID-740322,ACC-874589,11710
NID-711308,ACC-126372,42792
NID-124993,ACC-759290,27353
NID-116792,ACC-471424,19531
NID-719416,ACC-502813,44385
NID-377836,ACC-557614,19122
NID-326857,ACC-279548,13227
NID-363964,ACC-253808,49623
NID-467705,ACC-659392,44591
NID-242399,ACC-488257,14015
NID-518038,ACC-798358,40361
NID-968283,ACC-142415,34375
NID-685631,ACC-885110,17234
NID-480215,ACC-444598,28661
NID-972200,ACC-103037,39830
NID-864417,ACC-645753,46902
NID-943741,ACC-961322,43565
NID-229388,ACC-961111,49432
NID-156082,ACC-379380,22025
NID-432204,ACC-273039,27819
NID-557788,ACC-949362,30095
NID-691249,ACC-395430,31724
NID-108974,ACC-561210,15880
NID-312487,ACC-912167,10547
NID-752830,ACC-332053,22270
NID-842222,ACC-996977,44932
NID-754041,ACC-269283,28805
NID-621387,ACC-225789,38048
NID-729413,ACC-885471,41693
NID-546261,ACC-809869,19448
NID-161522,ACC-128656,13118
NID-680428,ACC-262062,29611
NID-821632,ACC-611066,15029
NID-287431,ACC-168967,49114
NID-868053,ACC-754582,12533
NID-903040,ACC-960503,37769
NID-790144,ACC-379380,41274
NID-178071,ACC-840705,21855
NID-933940,ACC-429163,49426
NID-161852,ACC-109430,48398
NID-406363,ACC-457413,13917
NID-351487,ACC-353292,23582
NID-645161,ACC-840163,34383
NID-819677,ACC-790071,35676
NID-289741,ACC-249028,16609
NID-631214,ACC-133831,21577
NID-748850,ACC-854856,27755
NID-682538,ACC-862379,10570
NID-739389,ACC-862379,28215
NID-320980,ACC-368742,12707
NID-445633,ACC-613788,19275
NID-794434,ACC-550193,37756
NID-658443,ACC-471424,13931
NID-840283,ACC-148444,26043
NID-104941,ACC-471711,31545
NID-198841,ACC-348907,39670
NID-551151,ACC-543455,44883
NID-826723,ACC-827667,41219
NID-231252,ACC-122347,11509
NID-596681,ACC-407906,32914
NID-599087,ACC-754750,14604
NID-554799,ACC-880322,15596
NID-659928,ACC-599715,12434
NID-190121,ACC-809353,32072
NID-747825,ACC-326843,35176
NID-574965,ACC-711586,31379
NID-363532,ACC-666539,45487
NID-745273,ACC-698212,46051
NID-174653,ACC-160210,17863
NID-731635,ACC-731895,44098
NID-914646,ACC-562805,28311
NID-110041,ACC-626186,24968
NID-579450,ACC-377066,40274
NID-598440,ACC-410238,42937
NID-129746,ACC-232145,19284
NID-424368,ACC-476119,38717
NID-347238,ACC-533226,45742
NID-592253,ACC-395352,17514
NID-319794,ACC-319790,32206
NID-553414,ACC-702771,44843
NID-566318,ACC-487376,48217
NID-505035,ACC-486803,24995
NID-600505,ACC-640750,12811
NID-189665,ACC-816941,34657
NID-790609,ACC-770237,33205
NID-226247,ACC-591511,49210
NID-771114,ACC-718695,12918
NID-746117,ACC-469764,13635
NID-818195,ACC-681234,23807
NID-434380,ACC-949362,29733
NID-676938,ACC-768384,23793
NID-601946,ACC-544637,48883
NID-720455,ACC-731174,40737
NID-150775,ACC-828858,16892
NID-104558,ACC-687348,38476
NID-135646,ACC-916523,49157
NID-672549,ACC-319790,35819
NID-833614,ACC-636388,18979
NID-526984,ACC-491120,44551
NID-401755,ACC-576564,30193
NID-405672,ACC-548156,41741
NID-469919,ACC-155311,31464
NID-260181,ACC-146339,15812
NID-824890,ACC-851084,23092
NID-956599,ACC-223800,36620
NID-447863,ACC-797490,19132
NID-287441,ACC-154323,27355
NID-415282,ACC-103037,13847
NID-450629,ACC-736068,29656
NID-888337,ACC-629115,30792
NID-365005,ACC-862341,27524
NID-865937,ACC-558758,32971
NID-701555,ACC-330745,20676
NID-901877,ACC-949362,18523
NID-582479,ACC-550897,26641
NID-831991,ACC-715300,14009
NID-907880,ACC-372264,34437
NID-475647,ACC-731895,18341
NID-300921,ACC-917363,11798
NID-723286,ACC-800378,25378
NID-232035,ACC-909297,19480
NID-621732,ACC-497254,35032
NID-513729,ACC-616142,46016
NID-828328,ACC-996977,43232
NID-628194,ACC-611066,32706
NID-801733,ACC-735612,21929
NID-630953,ACC-893005,17602
NID-653600,ACC-738921,26843
NID-211061,ACC-164212,18978
NID-254331,ACC-303123,13508
NID-275584,ACC-831131,22155
NID-906456,ACC-521567,17807
NID-718749,ACC-781479,47810
NID-386696,ACC-939561,25304
NID-772533,ACC-674162,47959
NID-658046,ACC-199241,22837
NID-916059,ACC-336584,31435
NID-199126,ACC-974782,29650
NID-850376,ACC-917947,36942
NID-838181,ACC-728993,18300
NID-181876,ACC-704317,13815
NID-532573,ACC-212475,24354
NID-707997,ACC-169466,10519
NID-156189,ACC-267939,16897
NID-403590,ACC-809904,15345
NID-856943,ACC-123468,30704
NID-209250,ACC-187170,25698
NID-781034,ACC-636373,13463
NID-130619,ACC-916937,22149
NID-153554,ACC-734185,18587
NID-748638,ACC-237078,49146
NID-273205,ACC-876765,24093
NID-799605,ACC-966245,22258
NID-799913,ACC-131708,28714
NID-913384,ACC-330745,36352
NID-171576,ACC-280721,16918
NID-369624,ACC-614145,45224
NID-464714,ACC-557614,48006
NID-814453,ACC-285216,12156
NID-569960,ACC-854251,46410
NID-475577,ACC-528647,11777
NID-421036,ACC-872560,34124
NID-672856,ACC-115652,38139
NID-128362,ACC-455700,37226
NID-108497,ACC-451152,43507
NID-406718,ACC-322656,24082
NID-454207,ACC-131708,16267
NID-898184,ACC-550193,42405
NID-314068,ACC-334019,46870
NID-937979,ACC-826542,49495
NID-731571,ACC-271893,38456
NID-471004,ACC-164212,43082
NID-775995,ACC-666929,14748
NID-332838,ACC-353292,17116
NID-565944,ACC-248673,41159
NID-833867,ACC-243024,33694
NID-362398,ACC-832031,44969
NID-745074,ACC-681571,16344
NID-478061,ACC-595303,26163
NID-820528,ACC-461333,12015
NID-311288,ACC-791499,42249
NID-788665,ACC-840705,32896
NID-433512,ACC-501863,23442
NID-147207,ACC-988720,38541
NID-264350,ACC-117217,44810
NID-713322,ACC-570238,37662
NID-519551,ACC-799027,15905
NID-614618,ACC-320057,43821
NID-682328,ACC-709914,17688
NID-247494,ACC-924047,22253
NID-421317,ACC-333746,10412
NID-340129,ACC-741816,41810
NID-897573,ACC-779414,43324
NID-412647,ACC-541516,14035
NID-100093,ACC-359349,27979
NID-968273,ACC-721343,44414
NID-900811,ACC-989173,37154
NID-571213,ACC-431669,20861
NID-854669,ACC-759290,49423
NID-174299,ACC-403943,48795
NID-900144,ACC-924355,22047
NID-859027,ACC-119676,16386
NID-256227,ACC-450212,23452
NID-831498,ACC-687130,14305
NID-112209,ACC-508001,25293
NID-731144,ACC-841630,38495
NID-920709,ACC-535722,38593
NID-922554,ACC-567173,25631
NID-709468,ACC-288513,37298
NID-787166,ACC-852845,39841
NID-606824,ACC-398625,49831
NID-595890,ACC-283126,20556
NID-366070,ACC-194691,32817
NID-946117,ACC-573595,17271
NID-762961,ACC-855357,40425
NID-418539,ACC-125030,35349
NID-488132,ACC-132936,42113
NID-659158,ACC-115520,16791
NID-311465,ACC-505847,33998
NID-556213,ACC-446913,38630
NID-846690,ACC-944132,11162
NID-570751,ACC-868653,15784
NID-597319,ACC-554104,49979
NID-457149,ACC-723551,42492
NID-305959,ACC-795811,45031
NID-219997,ACC-923516,28740
NID-218044,ACC-825214,26786
NID-714329,ACC-575040,22628
NID-298237,ACC-282388,18746
NID-945171,ACC-411179,24881
NID-572857,ACC-220438,26222
NID-823073,ACC-219730,10173
NID-227485,ACC-665466,11698
NID-330227,ACC-562139,13979
NID-881562,ACC-277192,20731
NID-431073,ACC-489717,35235
NID-712275,ACC-983908,37153
NID-892441,ACC-905047,41619
NID-457819,ACC-355037,10800
NID-327788,ACC-831295,27086
NID-919310,ACC-229128,45321
NID-993095,ACC-299808,21373
NID-454876,ACC-611104,18016
NID-311486,ACC-118094,34341
NID-595554,ACC-333888,28502
NID-440126,ACC-613267,26019
NID-249587,ACC-854839,21408
NID-878406,ACC-966245,48175
NID-287177,ACC-174211,23905
NID-361417,ACC-926266,13858
NID-899783,ACC-580639,29055
NID-342812,ACC-831131,20165
NID-275990,ACC-936100,33713
NID-609178,ACC-751045,23643
NID-719887,ACC-966018,27396
NID-685291,ACC-499200,10938
NID-416950,ACC-116841,46258
